,year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,O3_lag1,O3_lag2,NO2_lag1,NO2_lag2,Spike
69790,2021.0,8.0,4.0,19.0,137.74,17.11,29.99,4.67,-0.28,0.88,-2.08,0.7943949609652238,1.6021887159533075,0.8251493094438223,12.5,32.95,6.12,6.18,25.57,99.65,0
1728,2019.0,7.0,24.0,3.0,0.09,95.15,14.88,11.19,-2.42,-1.38,1.73,0.7943949609652238,1.6021887159533075,0.8251493094438223,22.43,54.12,13.2,10.5,151.25,31.92,0
46056,2020.0,11.0,20.0,12.0,161.4,8.86,22.81,21.01,-0.55,0.27,-2.65,0.7943949609652238,1.6021887159533075,0.8251493094438223,19.02,88.88,102.93,119.48,33.15,39.23,0
159068,2024.0,2.0,3.0,3.0,69.09,53.56,23.62,10.44,-1.83,1.58,-0.69,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.5,69.45,5.7,11.6,59.8,59.97,0
31970,2020.0,6.0,1.0,14.0,52.87,60.31,29.81,19.87,1.47,-0.6,-0.07,0.7943949609652238,1.6021887159533075,0.8251493094438223,34.6,12.1,113.95,105.28,36.12,23.95,0
168887,2024.0,5.0,25.0,7.0,18.94,55.71,9.91,20.24,-0.39,1.42,-1.26,0.7943949609652238,1.6021887159533075,0.8251493094438223,101.1,6.8,141.95,58.17,11.45,14.23,0
158419,2024.0,1.0,28.0,13.0,0.05,138.18,28.25,8.65,1.39,-1.62,3.37,0.7943949609652238,1.6021887159533075,0.8251493094438223,19.35,73.47,45.62,5.97,36.85,72.05,0
115338,2022.0,11.0,9.0,3.0,100.67,14.53,10.43,5.26,-2.64,0.62,2.19,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.02,41.23,3.23,9.78,45.28,71.92,0
106157,2022.0,8.0,8.0,8.0,113.31,14.59,9.39,6.55,4.26,-3.01,0.88,0.27,2.14,0.12,72.88,16.02,49.25,20.85,9.68,9.9,0
11571,2019.0,11.0,1.0,19.0,4.11,115.35,26.03,7.02,-0.29,-1.44,2.79,0.7943949609652238,1.6021887159533075,0.8251493094438223,10.32,101.67,2.27,1.6,32.42,19.5,0
144250,2023.0,9.0,10.0,15.0,57.81,82.06,16.87,8.12,0.3,-1.81,0.02,0.7943949609652238,1.6021887159533075,0.8251493094438223,17.7,10.8,9.0,29.15,17.12,5.53,0
140781,2023.0,8.0,10.0,15.0,19.01,160.73,14.44,9.76,-3.42,0.68,-0.75,0.7943949609652238,1.6021887159533075,0.8251493094438223,5.03,23.6,4.55,25.65,30.35,24.38,0
48278,2020.0,12.0,11.0,6.0,122.01,20.97,32.39,4.71,1.2,0.01,-2.12,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.25,142.35,59.27,10.88,103.15,120.15,0
80497,2021.0,11.0,22.0,20.0,214.4,5.61,16.87,21.0,3.46,-2.34,-3.2,0.7943949609652238,1.6021887159533075,0.8251493094438223,17.4,41.58,7.4,2.2,27.95,33.75,0
141993,2023.0,8.0,23.0,21.0,41.32,44.77,8.82,19.84,1.88,0.68,-2.36,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.55,14.2,25.7,3.2,11.1,14.33,0
81967,2021.0,12.0,6.0,17.0,195.71,12.62,22.35,9.69,0.13,-0.67,-0.92,0.7943949609652238,1.6021887159533075,0.8251493094438223,15.42,58.88,4.17,19.27,95.18,34.12,0
135230,2023.0,5.0,28.0,7.0,15.63,145.93,17.06,17.19,1.73,-1.68,0.29,0.7943949609652238,1.6021887159533075,0.8251493094438223,13.83,7.57,67.03,46.38,14.15,16.82,0
169975,2024.0,6.0,3.0,20.0,25.36,46.58,24.43,9.86,-0.5,-0.56,-0.7,0.7943949609652238,1.6021887159533075,0.8251493094438223,87.9,15.0,94.0,98.25,19.0,14.8,0
34850,2020.0,7.0,14.0,0.0,61.01,23.4,35.64,18.69,1.25,-0.0,2.31,0.7943949609652238,1.6021887159533075,0.8251493094438223,5.67,27.2,3.2,7.43,11.57,31.85,0
100171,2022.0,6.0,17.0,23.0,96.46,147.42,30.07,9.94,-1.63,1.33,-0.76,0.7943949609652238,1.6021887159533075,0.8251493094438223,16.75,35.2,10.88,15.38,34.73,41.83,0
56514,2021.0,4.0,1.0,10.0,156.16,4.78,33.64,13.05,-2.03,2.27,-1.51,0.7943949609652238,1.6021887159533075,0.8251493094438223,39.18,16.0,64.55,58.03,20.25,26.73,0
102190,2022.0,7.0,4.0,13.0,142.32,6.09,28.3,17.45,1.9,-1.47,-0.53,0.7943949609652238,1.6021887159533075,0.8251493094438223,32.38,22.88,27.75,112.1,67.28,17.68,0
87651,2022.0,2.0,7.0,4.0,148.14,4.13,13.91,5.86,3.27,-2.11,0.84,0.7943949609652238,1.6021887159533075,0.8251493094438223,8.52,40.72,9.12,21.18,43.28,68.65,0
162572,2024.0,3.0,11.0,20.0,0.24,80.53,16.81,6.87,1.82,-0.95,2.28,0.7943949609652238,1.6021887159533075,0.8251493094438223,41.9,68.3,72.3,7.33,26.23,38.67,0
157532,2024.0,1.0,18.0,11.0,0.01,142.23,24.36,6.23,-0.79,-1.27,1.91,0.7943949609652238,1.6021887159533075,0.8251493094438223,21.8,110.65,91.45,46.5,76.17,81.8,0
84672,2022.0,1.0,3.0,19.0,135.42,3.23,29.99,20.96,-0.07,1.05,-2.22,0.7943949609652238,1.6021887159533075,0.8251493094438223,1.12,41.05,3.15,3.2,98.8,94.25,0
54428,2021.0,3.0,5.0,7.0,114.03,37.75,31.17,12.39,1.4,-1.5,-4.47,0.7943949609652238,1.6021887159533075,0.8251493094438223,76.17,28.8,48.77,70.52,20.18,47.5,0
69095,2021.0,7.0,28.0,23.0,81.6,40.5,38.44,10.79,1.49,-1.27,-1.2,0.7943949609652238,1.6021887159533075,0.8251493094438223,22.7,20.95,10.55,3.7,30.27,11.27,0
3288,2019.0,8.0,10.0,0.0,13.1,55.68,9.12,10.48,2.19,-1.75,5.09,0.7943949609652238,1.6021887159533075,0.8251493094438223,16.48,8.02,4.67,12.18,31.05,24.0,0
44393,2020.0,10.0,26.0,13.0,101.33,24.04,32.3,7.12,2.04,-0.5,-1.76,0.7943949609652238,1.6021887159533075,0.8251493094438223,8.75,109.47,43.55,21.68,88.0,48.17,0
71846,2021.0,9.0,1.0,8.0,175.76,17.74,32.04,14.18,2.47,-2.71,-2.15,0.26,0.08,3.4,31.38,23.6,18.27,3.65,20.0,6.78,0
143700,2023.0,9.0,7.0,8.0,35.12,37.0,14.39,5.78,1.95,-1.07,2.06,0.59,2.07,0.28,23.8,7.33,72.52,100.75,9.45,8.68,0
63394,2021.0,6.0,4.0,13.0,176.28,4.47,34.85,9.92,1.81,-1.5,-1.79,0.7943949609652238,1.6021887159533075,0.8251493094438223,6.9,12.9,38.28,61.72,12.25,63.8,0
82068,2021.0,12.0,7.0,10.0,210.05,14.81,17.1,7.86,-0.38,-0.05,-2.71,0.7943949609652238,1.6021887159533075,0.8251493094438223,57.1,50.27,73.72,53.3,14.2,21.0,0
39786,2020.0,9.0,5.0,12.0,49.97,36.61,19.53,10.68,1.54,-1.88,1.98,0.7943949609652238,1.6021887159533075,0.8251493094438223,15.12,32.12,61.3,6.58,22.98,19.93,0
52838,2021.0,2.0,7.0,9.0,126.67,20.83,14.11,7.23,-4.4,1.98,-1.74,0.7943949609652238,1.6021887159533075,0.8251493094438223,96.03,30.77,67.87,64.62,18.93,33.38,0
132288,2023.0,4.0,28.0,6.0,33.69,58.17,22.94,5.5,2.06,-1.09,1.23,0.7943949609652238,1.6021887159533075,0.8251493094438223,46.3,13.35,22.05,40.38,31.62,25.95,0
130420,2023.0,4.0,11.0,5.0,0.15,208.52,15.72,21.6,-2.47,0.99,-1.13,0.7943949609652238,1.6021887159533075,0.8251493094438223,29.88,23.55,43.6,50.03,24.4,0.1,0
10450,2019.0,10.0,21.0,8.0,40.8,37.62,11.47,11.37,-0.32,-1.99,1.4,0.7943949609652238,1.6021887159533075,0.8251493094438223,96.1,29.25,58.38,121.4,6.55,14.8,0
86457,2022.0,1.0,23.0,14.0,18.34,85.14,16.06,7.93,1.81,-1.03,2.93,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.68,59.42,3.35,3.9,50.55,28.5,0
138852,2023.0,7.0,9.0,21.0,26.17,47.02,9.45,17.85,0.21,1.33,0.32,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.55,18.2,31.8,10.5,3.73,17.77,0
133999,2023.0,5.0,15.0,11.0,0.01,165.6,30.08,16.87,-3.5,2.1,0.7,0.7943949609652238,1.6021887159533075,0.8251493094438223,103.65,23.73,77.1,39.88,4.22,5.75,0
94602,2022.0,4.0,24.0,18.0,58.69,135.04,12.61,5.72,-3.52,1.43,1.57,0.7943949609652238,1.6021887159533075,0.8251493094438223,8.95,129.4,39.4,19.42,68.6,40.55,0
87845,2022.0,2.0,8.0,12.0,123.45,22.54,19.42,6.58,3.44,-2.93,-0.72,0.7943949609652238,1.6021887159533075,0.8251493094438223,89.53,32.1,37.08,68.45,41.4,30.0,0
132612,2023.0,4.0,30.0,5.0,22.46,123.86,24.75,6.84,0.99,-2.05,-0.11,0.7943949609652238,1.6021887159533075,0.8251493094438223,33.3,11.2,59.38,37.58,32.08,9.23,0
29759,2020.0,5.0,6.0,9.0,36.0,34.67,20.54,9.11,0.97,0.61,2.24,0.7943949609652238,1.6021887159533075,0.8251493094438223,35.8,8.07,94.9,100.68,17.23,11.93,0
129227,2023.0,3.0,31.0,15.0,60.83,44.38,35.19,9.09,-2.13,1.1,2.58,0.7943949609652238,1.6021887159533075,0.8251493094438223,8.15,38.52,16.85,12.45,8.55,68.67,0
25369,2020.0,3.0,15.0,0.0,6.61,120.74,30.59,4.96,0.05,-1.91,1.76,0.7943949609652238,1.6021887159533075,0.8251493094438223,10.95,35.88,2.2,5.73,33.1,39.1,0
171567,2024.0,6.0,27.0,15.0,0.03,105.67,21.34,11.59,0.67,1.68,-0.94,0.7943949609652238,1.6021887159533075,0.8251493094438223,64.43,27.1,15.97,13.95,32.35,29.05,0
157036,2024.0,1.0,14.0,4.0,31.87,62.84,24.03,7.52,1.03,-1.26,0.01,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.47,75.67,2.33,8.58,35.08,50.22,0
24638,2020.0,3.0,7.0,22.0,69.93,16.16,9.76,12.1,1.41,-0.2,2.66,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.8,47.67,2.9,4.23,28.9,32.17,0
110005,2022.0,9.0,7.0,9.0,0.02,160.08,12.11,7.13,-1.18,-1.18,3.16,0.7943949609652238,1.6021887159533075,0.8251493094438223,70.9,12.47,104.68,49.15,26.85,5.72,0
37126,2020.0,8.0,5.0,11.0,10.71,105.36,24.05,10.61,-0.45,0.33,1.7,0.7943949609652238,1.6021887159533075,0.8251493094438223,43.27,33.2,10.07,37.3,22.38,27.95,0
124432,2023.0,2.0,13.0,17.0,47.24,86.61,30.64,10.04,-1.45,0.41,1.89,0.7943949609652238,1.6021887159533075,0.8251493094438223,13.98,19.35,14.5,36.1,27.95,17.05,0
43248,2020.0,10.0,12.0,12.0,155.01,13.46,34.91,21.25,0.34,-0.97,-1.15,0.7943949609652238,1.6021887159533075,0.8251493094438223,41.22,104.72,64.47,131.68,13.23,45.98,0
126756,2023.0,3.0,7.0,10.0,19.84,70.09,16.49,10.41,1.33,-2.24,0.67,0.7943949609652238,1.6021887159533075,0.8251493094438223,84.28,46.95,44.28,28.4,0.9,7.6,0
49951,2020.0,12.0,31.0,5.0,170.38,25.8,33.33,8.36,-2.16,1.83,-0.45,0.7943949609652238,1.6021887159533075,0.8251493094438223,20.08,62.75,10.6,8.43,62.62,56.55,0
92101,2022.0,3.0,25.0,5.0,105.04,38.92,13.82,4.96,-0.39,-1.21,0.05,0.7943949609652238,1.6021887159533075,0.8251493094438223,97.95,41.95,52.2,47.33,34.6,65.5,0
67155,2021.0,7.0,10.0,0.0,152.6,11.78,23.66,20.77,1.54,-2.04,-2.03,0.7943949609652238,1.6021887159533075,0.8251493094438223,33.5,30.9,12.1,10.85,23.27,7.55,0
130477,2023.0,4.0,11.0,17.0,16.06,61.44,14.74,20.78,-1.51,0.52,0.45,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.22,106.25,13.75,2.1,31.98,54.65,0
140485,2023.0,8.0,6.0,12.0,26.18,85.64,18.56,5.73,-2.67,-0.63,1.46,0.7943949609652238,1.6021887159533075,0.8251493094438223,9.45,10.65,25.3,33.88,10.33,1.3,0
25638,2020.0,3.0,18.0,17.0,7.47,104.64,27.64,7.64,-0.37,0.86,5.07,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.42,72.42,11.38,6.33,77.75,71.05,0
97545,2022.0,5.0,23.0,19.0,77.65,34.67,18.47,20.14,1.83,1.19,-0.37,0.7943949609652238,1.6021887159533075,0.8251493094438223,42.77,21.38,64.5,66.5,10.88,29.18,0
96671,2022.0,5.0,15.0,3.0,176.04,34.17,31.79,15.04,0.41,1.24,3.65,0.7943949609652238,1.6021887159533075,0.8251493094438223,64.17,52.98,17.88,18.62,36.72,37.62,0
76003,2021.0,10.0,12.0,7.0,164.41,14.73,35.59,16.89,-3.45,0.61,-1.74,0.7943949609652238,1.6021887159533075,0.8251493094438223,103.4,24.77,85.93,56.38,40.92,22.53,0
166288,2024.0,4.0,15.0,22.0,10.39,116.66,30.36,11.28,-0.97,1.53,-2.73,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.35,93.7,5.48,2.42,69.17,41.55,0
6990,2019.0,9.0,22.0,1.0,2.31,98.16,11.89,8.28,1.48,-1.47,3.72,0.7943949609652238,1.6021887159533075,0.8251493094438223,6.3,14.4,22.48,43.17,37.62,27.38,0
4370,2019.0,8.0,18.0,14.0,14.33,75.07,25.67,8.52,-0.95,0.08,5.03,0.7943949609652238,1.6021887159533075,0.8251493094438223,5.5,32.15,23.42,30.7,10.47,24.97,0
132726,2023.0,4.0,30.0,21.0,78.85,22.18,31.64,5.96,0.54,-1.9,0.04,0.7943949609652238,1.6021887159533075,0.8251493094438223,15.65,21.4,13.1,14.23,16.9,11.82,0
77991,2021.0,10.0,29.0,14.0,155.52,9.43,34.38,4.07,2.35,-1.39,-0.44,0.7943949609652238,1.6021887159533075,0.8251493094438223,6.35,54.55,1.62,10.17,61.25,73.75,0
66287,2021.0,7.0,3.0,3.0,243.71,13.48,33.26,18.1,3.74,-0.85,-2.57,0.7943949609652238,1.6021887159533075,0.8251493094438223,19.77,67.92,37.88,11.2,29.35,18.07,0
161545,2024.0,2.0,28.0,10.0,93.16,21.04,21.99,16.28,2.01,-2.39,-1.91,0.7943949609652238,1.6021887159533075,0.8251493094438223,71.33,5.5,118.35,114.0,26.48,22.38,0
134061,2023.0,5.0,15.0,23.0,63.1,113.77,33.08,18.74,-3.29,1.78,0.37,0.7943949609652238,1.6021887159533075,0.8251493094438223,29.82,0.7,35.7,42.05,3.55,13.35,0
125386,2023.0,2.0,26.0,11.0,83.25,17.6,26.94,20.47,2.05,-1.49,1.2,0.7943949609652238,1.6021887159533075,0.8251493094438223,33.6,15.5,69.53,55.33,7.85,19.07,0
7212,2019.0,9.0,23.0,16.0,45.07,56.79,7.36,7.33,-1.17,-0.61,0.61,0.7943949609652238,1.6021887159533075,0.8251493094438223,6.65,69.23,18.45,3.8,46.9,66.17,0
123359,2023.0,2.0,3.0,3.0,0.05,116.78,25.83,8.17,0.02,1.09,2.46,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.48,22.55,2.75,5.67,27.38,68.75,0
19627,2020.0,1.0,16.0,19.0,30.83,36.71,26.74,21.14,1.27,-1.2,0.76,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.12,29.68,5.17,8.75,39.25,29.6,0
67632,2021.0,7.0,15.0,0.0,219.35,12.92,37.83,17.49,-1.06,-1.01,-2.14,0.7943949609652238,1.6021887159533075,0.8251493094438223,25.82,21.02,13.98,2.67,20.98,10.45,0
15055,2019.0,12.0,4.0,20.0,21.95,43.86,21.84,14.13,2.52,-1.27,1.23,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.3,103.62,2.05,14.4,116.02,40.9,0
140802,2023.0,8.0,10.0,19.0,89.42,48.96,18.79,14.3,-0.63,-1.91,0.1,0.7943949609652238,1.6021887159533075,0.8251493094438223,3.57,25.5,19.85,4.2,11.78,13.35,0
118632,2022.0,12.0,11.0,0.0,48.22,66.43,20.55,9.02,1.07,-1.49,0.46,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.7,69.3,1.8,1.67,35.17,21.48,0
55081,2021.0,3.0,13.0,19.0,142.07,12.69,32.45,7.22,-0.53,1.41,-2.21,0.7943949609652238,1.6021887159533075,0.8251493094438223,2.52,20.98,9.57,2.47,62.15,66.5,0
43290,2020.0,10.0,13.0,6.0,149.65,24.12,37.33,21.55,-1.13,1.86,-2.36,0.7943949609652238,1.6021887159533075,0.8251493094438223,98.32,43.68,14.6,89.6,54.0,35.65,0
7015,2019.0,9.0,22.0,5.0,15.43,83.03,8.08,8.76,0.77,-0.66,1.06,0.7943949609652238,1.6021887159533075,0.8251493094438223,12.8,15.35,17.45,10.2,9.4,19.0,0
105626,2022.0,8.0,5.0,3.0,119.11,37.31,22.44,7.93,2.55,-2.05,1.71,0.7943949609652238,1.6021887159533075,0.8251493094438223,4.65,13.77,4.68,4.95,18.93,16.85,0
